Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
TCP,1,109.707,1,Pending,0
TCP,1.1,109.707,1,Pending,0
TCP,1.2,109.707,1,Pending,0
TCP,1.3,109.884,1,Pending,0
TCP,1.4,110.042,1,Pending,0
TCP,1.5,109.707,1,Pending,0
TCP,1.6,109.707,1,Pending,0
TCP,1.7,109.981,1,Pending,0
TCP,1.8,109.937,1,Pending,0
TCP,1.9,109.707,1,Pending,0
TCP,2,109.797,1,Pending,0
TCP,2.1,109.756,1,Pending,0
TCP,2.2,110.116,1,Pending,0
TCP,2.3,109.707,1,Pending,0
TCP,2.4,109.847,1,Pending,0
TCP,2.5,109.773,1,Pending,0
TCP,2.6,109.788,1,Pending,0
TCP,2.7,109.775,1,Pending,0
TCP,2.8,110.108,1,Pending,0
TCP,2.9,109.979,1,Pending,0
TCP,3,109.707,1,Pending,0
TCP,3.1,109.847,1,Pending,0
TCP,3.2,109.952,1,Pending,0
TCP,3.3,109.768,1,Pending,0
TCP,3.4,109.737,1,Pending,0
TCP,3.5,109.707,1,Pending,0
TCP,3.6,109.892,1,Pending,0
TCP,3.7,109.736,1,Pending,0
TCP,3.8,109.894,1,Pending,0
TCP,3.9,109.707,1,Pending,0
TCP,4,109.737,1,Pending,0
TCP,4.1,110.163,1,Pending,0
TCP,4.2,109.707,1,Pending,0
TCP,4.3,109.707,1,Pending,0
TCP,4.4,110.267,1,Pending,0
TCP,4.5,109.707,1,Pending,0
TCP,4.6,109.707,1,Pending,0
TCP,4.7,110.116,1,Pending,0
TCP,4.8,109.707,1,Pending,0
TCP,4.9,109.834,1,Pending,0
